,Centre_Name,Commodity_Name,Season,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
33,AGARTALA,Tea_loose,Rabi,65.75,75.41666666666667,84.70588235294117,74.41176470588235,61.19047619047619,87.14285714285714,90.45454545454544,90.0,90.0,90.0,56.36363636363637,57.95454545454545,55.90909090909091,92.72727272727272,100.0,104.0909090909091,107.61904761904762,100.0,140.0,146.85714285714286,147.7162913,162.5174637,173.3573785,169.69458,168.6615,168.15149,168.23863,168.6839,169.37386,170.21046,171.09631,171.9501
34,AGARTALA,Tea_loose,Zaid,69.80287977,70.0,80.0,57.142857142857146,60.0,85.0,90.0,90.0,90.0,78.88888888888889,50.0,55.0,60.0,100.0,100.0,100.0,121.11111111111111,126.3377457,131.228482,140.0,147.7162913,162.5174637,173.3573785,169.50482,168.42212,168.06145,168.29623,168.84048,169.57587,170.41498,171.27623,172.09341
35,AGARTALA,Tomato,Kharif,3.73726346,4.164081849,4.638095176,5.095687954,5.488677245,6.325547131,6.635421306,6.919104594,7.190921424,7.514024476,7.811648276,8.117685,8.478,9.0,9.125,27.43072289,25.61320754716981,20.18705036,38.5,26.38571428571429,37.45161290322581,32.527472527472526,21.08996987,25.432371,27.006016,28.42315,29.295502,29.66959,29.73488,29.678534,29.633831,29.67097
36,AGARTALA,Tomato,Rabi,3.73726346,4.164081849,4.638095176,5.095687954,5.488677245,6.325547131,6.635421306,6.919104594,7.190921424,7.514024476,7.811648276,8.117685,8.478,9.0,9.125,30.0,25.940594059405942,20.0,34.666666666666664,26.90909090909091,36.11111111111112,36.8,28.37037037037037,25.39634,23.685003,23.152555,23.23268,23.56089,23.956198,24.33843,24.668552,24.917776
37,AGARTALA,Tomato,Zaid,3.73726346,4.164081849,4.638095176,5.095687954,5.488677245,6.325547131,6.635421306,6.919104594,7.190921424,7.514024476,7.811648276,8.117685,8.478,9.0,9.125,27.43072289,28.81578947368421,20.18705036,13.76923076923077,17.727272727272727,16.02777777777778,23.03846153846154,19.428571428571427,19.759462,19.67786,19.708296,19.795185,19.892614,19.984911,20.070477,20.154652,20.245594
38,AGARTALA,Tur,Kharif,13.7,16.416666666666668,21.666666666666668,26.34375,24.363636363636363,30.23809523809524,33.523809523809526,28.23809523809524,25.454545454545453,28.977272727272727,28.045454545454547,30.0,29.846153846153847,32.23809523809524,36.68181818181818,36.68181818181818,44.13636363636363,63.21739130434783,64.75,65.0,67.31659598,74.06171889,79.00163554,79.665146,80.30161,81.327934,82.854324,84.866554,87.26448,89.929695,92.7576,95.65966
39,AGARTALA,Tur,Rabi,18.0,18.5,18.2,26.181818181818183,22.94117647058824,28.5,36.59090909090909,27.818181818181817,25.95,25.964285714285715,27.818181818181817,29.40909090909091,27.40909090909091,29.454545454545453,34.142857142857146,36.09090909090909,51.57142857142857,68.75,64.27777777777777,65.0,67.31659598,74.06171889,79.00163554,77.6655,77.43232,78.280266,80.17869,82.84094,85.9417,89.21862,92.502365,95.69849
40,AGARTALA,Tur,Zaid,16.18491103,16.5,18.25,24.166666666666668,23.714285714285715,26.22222222222222,42.75,28.0,25.0,26.5,27.77777777777778,29.875,27.454545454545453,32.0,34.6,40.888888888888886,34.0,59.5,64.0,65.0,67.31659598,74.06171889,79.00163554,77.61038,78.016365,79.52214,81.83119,84.62837,87.69406,90.874695,94.05571,97.14815
41,AGARTALA,Urad Dal,Kharif,24.67523775,27.17610525,27.17610525,29.85728988,32.15994171,37.06343403,38.87908741,40.50326848,42.09443825,43.98582889,45.72806829,47.51955553,49.62877863,52.68447837,44.96641438,38.0,49.0,73.75961538461539,74.71739130434783,60.0,60.58064516129032,66.51648351648352,79.81634446,81.72011,84.99649,87.87398,90.62542,93.207016,95.592285,97.7942,99.86754,101.88697
42,AGARTALA,Urad Dal,Rabi,24.67523775,27.17610525,27.17610525,29.85728988,32.15994171,37.06343403,38.87908741,40.50326848,42.09443825,43.98582889,45.72806829,47.51955553,49.62877863,52.68447837,44.96641438,38.0,48.613861386138616,69.77173913043478,74.22077922077922,65.13636363636364,57.9390243902439,66.94444444444444,73.08928571428571,76.9456,80.09454,83.11337,85.93397,88.53406,90.91134,93.12024,95.25787,97.41837
